longitude,latitude
30.460367,50.457861
30.460487,50.458024
30.460656,50.458167
30.460825,50.458311
30.460994,50.458455
30.461164,50.458599
30.461335,50.458742
30.461506,50.458885
30.461677,50.459029
30.461848,50.459172
30.462019,50.459315
30.462186,50.45946
30.462348,50.459607
30.462511,50.459754
30.462673,50.459902
30.462835,50.460049
30.462997,50.460196
30.463161,50.460343
30.463326,50.460489
30.46349,50.460635
30.463651,50.460783
30.463809,50.460932
30.463968,50.461081
30.464056,50.46125
30.464115,50.461426
30.464172,50.461602
30.464224,50.461779
30.464275,50.461955
30.464325,50.462132
30.464372,50.46231
30.464419,50.462487
30.464514,50.462624
30.464792,50.462595
30.465069,50.462559
30.465347,50.462524
30.465625,50.462493
30.465903,50.462463
30.466182,50.462435
30.466463,50.462415
30.466744,50.462398
30.467026,50.46238
30.467307,50.462363
30.467588,50.462345
30.467869,50.462328
30.46815,50.46231
30.468432,50.462293
30.468713,50.462277
30.468995,50.462263
30.469277,50.46225
30.469558,50.462234
30.46984,50.462223
30.470121,50.462208
30.470403,50.462192
30.470684,50.462176
30.470965,50.46216
30.471247,50.462145
30.471528,50.462129
30.47181,50.462114
30.472091,50.462098
30.472373,50.462082
30.472654,50.462067
30.472936,50.462051
30.473217,50.462036
30.473499,50.462021
30.473781,50.462007
30.474062,50.46199
30.474343,50.461973
30.474625,50.461957
30.474907,50.461946
30.475189,50.461935
30.47547,50.461922
30.475752,50.461906
30.476033,50.46189
30.476315,50.461876
30.476597,50.461862
30.476878,50.461848
30.47716,50.461834
30.477442,50.46182
30.477723,50.461806
30.478005,50.461791
30.478286,50.461776
30.478568,50.461763
30.47885,50.461752
30.479132,50.461736
30.479413,50.461719
30.479694,50.461701
30.479975,50.461684
30.480257,50.461677
30.480539,50.461666
30.480821,50.461652
30.481093,50.461619
30.481346,50.46154
30.481589,50.461448
30.481853,50.461385
30.482122,50.46133
30.482391,50.461274
30.48266,50.461219
30.482929,50.461171
30.483206,50.461136
30.483486,50.461113
30.483768,50.4611
30.484006,50.461029
30.484169,50.460882
30.484331,50.460735
30.484494,50.460588
30.484657,50.460441
30.48481,50.460291
30.484972,50.460144
30.485134,50.459996
30.485293,50.459847
30.485444,50.459696
30.485601,50.459546
30.485758,50.459397
30.485916,50.459247
30.486073,50.459097
30.486224,50.458946
30.486376,50.458794
30.486513,50.458637
30.486665,50.458485
30.486817,50.458333
30.486966,50.458181
30.487114,50.458028
30.487103,50.457895
30.486871,50.457792
30.486637,50.457692
30.486398,50.457603
30.486276,50.457765
30.486263,50.457935
30.486323,50.458111
30.486384,50.458287
30.486444,50.458463
30.486509,50.458638
30.486518,50.458817
30.486591,50.45899
30.486669,50.459163
30.486777,50.459328
30.486915,50.459485
30.487083,50.459629
30.48726,50.459769
30.487437,50.45991
30.487612,50.460051
30.487788,50.460192
30.487965,50.460332
30.488143,50.460471
30.488321,50.460611
30.488504,50.460748
30.488704,50.460871
30.488896,50.460997
30.489034,50.461154
30.489171,50.461312
30.489308,50.461469
30.489445,50.461626
30.489583,50.461783
30.48972,50.46194
30.489857,50.462098
30.489995,50.462255
30.490224,50.462341
30.490505,50.46236
30.490785,50.462379
30.491067,50.462387
30.491348,50.462404
30.49163,50.462418
30.491912,50.462433
30.492193,50.462448
30.492475,50.462462
30.492757,50.462474
30.493038,50.462488
30.49332,50.462503
30.493602,50.462518
30.493883,50.462533
30.494165,50.462548
30.494447,50.46255
30.494725,50.462522
30.494989,50.462458
30.49524,50.462377
30.495482,50.462284
30.495725,50.462192
30.495971,50.462104
30.496228,50.462028
30.496503,50.46199
30.496785,50.461999
30.497066,50.462012
